sample-id	forward-absolute-filepath	reverse-absolute-filepath
E4-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E4-S_Soil_18S_S119_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E4-S_Soil_18S_S119_L001_R2_001.fastq.gz
E5-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E5-1_Root_18S_S84_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E5-1_Root_18S_S84_L001_R2_001.fastq.gz
E5-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E5-2_Root_18S_S96_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E5-2_Root_18S_S96_L001_R2_001.fastq.gz
E5-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E5-N_Soil_18S_S108_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E5-N_Soil_18S_S108_L001_R2_001.fastq.gz
E5-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E5-S_Soil_18S_S120_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E5-S_Soil_18S_S120_L001_R2_001.fastq.gz
E6-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E6-1_Root_18S_S85_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E6-1_Root_18S_S85_L001_R2_001.fastq.gz
E6-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E6-2_Root_18S_S97_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E6-2_Root_18S_S97_L001_R2_001.fastq.gz
E6-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E6-N_Soil_18S_S109_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E6-N_Soil_18S_S109_L001_R2_001.fastq.gz
E6-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E6-S_Soil_18S_S140_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E6-S_Soil_18S_S140_L001_R2_001.fastq.gz
E7-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E7-1_Root_18S_S125_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E7-1_Root_18S_S125_L001_R2_001.fastq.gz
E7-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E7-2_Root_18S_S131_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E7-2_Root_18S_S131_L001_R2_001.fastq.gz
E7-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E7-N_Soil_18S_S137_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E7-N_Soil_18S_S137_L001_R2_001.fastq.gz
E7-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E7-S_Soil_18S_S141_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E7-S_Soil_18S_S141_L001_R2_001.fastq.gz
E8-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E8-1_Root_18S_S126_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E8-1_Root_18S_S126_L001_R2_001.fastq.gz
E8-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E8-2_Root_18S_S132_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E8-2_Root_18S_S132_L001_R2_001.fastq.gz
E8-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E8-N_Soil_18S_S138_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E8-N_Soil_18S_S138_L001_R2_001.fastq.gz
E8-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E8-S_Soil_18S_S121_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E8-S_Soil_18S_S121_L001_R2_001.fastq.gz
E9-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E9-1_Root_18S_S127_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E9-1_Root_18S_S127_L001_R2_001.fastq.gz
E9-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E9-2_Root_18S_S133_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E9-2_Root_18S_S133_L001_R2_001.fastq.gz
E9-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E9-N_Soil_18S_S139_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E9-N_Soil_18S_S139_L001_R2_001.fastq.gz
E9-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E9-S_Soil_18S_S142_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/E9-S_Soil_18S_S142_L001_R2_001.fastq.gz
P1-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P1-1_Root_18S_S74_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P1-1_Root_18S_S74_L001_R2_001.fastq.gz
P1-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P1-2_Root_18S_S86_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P1-2_Root_18S_S86_L001_R2_001.fastq.gz
P1-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P1-N_Soil_18S_S98_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P1-N_Soil_18S_S98_L001_R2_001.fastq.gz
P1-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P1-S_Soil_18S_S110_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P1-S_Soil_18S_S110_L001_R2_001.fastq.gz
P2-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P2-1_Root_18S_S75_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P2-1_Root_18S_S75_L001_R2_001.fastq.gz
P2-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P2-2_Root_18S_S87_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P2-2_Root_18S_S87_L001_R2_001.fastq.gz
P2-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P2-N_Soil_18S_S99_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P2-N_Soil_18S_S99_L001_R2_001.fastq.gz
P2-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P2-S_Soil_18S_S111_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P2-S_Soil_18S_S111_L001_R2_001.fastq.gz
P3-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P3-1_Root_18S_S76_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P3-1_Root_18S_S76_L001_R2_001.fastq.gz
P3-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P3-2_Root_18S_S88_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P3-2_Root_18S_S88_L001_R2_001.fastq.gz
P3-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P3-N_Soil_18S_S100_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P3-N_Soil_18S_S100_L001_R2_001.fastq.gz
P3-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P3-S_Soil_18S_S112_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P3-S_Soil_18S_S112_L001_R2_001.fastq.gz
P4-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P4-1_Root_18S_S77_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P4-1_Root_18S_S77_L001_R2_001.fastq.gz
P4-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P4-2_Root_18S_S89_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P4-2_Root_18S_S89_L001_R2_001.fastq.gz
P4-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P4-N_Soil_18S_S101_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P4-N_Soil_18S_S101_L001_R2_001.fastq.gz
P4-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P4-S_Soil_18S_S113_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P4-S_Soil_18S_S113_L001_R2_001.fastq.gz
P5-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P5-1_Root_18S_S78_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P5-1_Root_18S_S78_L001_R2_001.fastq.gz
P5-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P5-2_Root_18S_S90_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P5-2_Root_18S_S90_L001_R2_001.fastq.gz
P5-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P5-N_Soil_18S_S102_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P5-N_Soil_18S_S102_L001_R2_001.fastq.gz
P5-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P5-S_Soil_18S_S114_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P5-S_Soil_18S_S114_L001_R2_001.fastq.gz
P6-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P6-1_Root_18S_S79_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P6-1_Root_18S_S79_L001_R2_001.fastq.gz
P6-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P6-2_Root_18S_S91_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P6-2_Root_18S_S91_L001_R2_001.fastq.gz
P6-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P6-N_Soil_18S_S134_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P6-N_Soil_18S_S134_L001_R2_001.fastq.gz
P6-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P6-S_Soil_18S_S115_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P6-S_Soil_18S_S115_L001_R2_001.fastq.gz
P7-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P7-1_Root_18S_S122_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P7-1_Root_18S_S122_L001_R2_001.fastq.gz
P7-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P7-2_Root_18S_S128_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P7-2_Root_18S_S128_L001_R2_001.fastq.gz
P7-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P7-N_Soil_18S_S135_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P7-N_Soil_18S_S135_L001_R2_001.fastq.gz
P7-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P7-S_Soil_18S_S143_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P7-S_Soil_18S_S143_L001_R2_001.fastq.gz
P8-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P8-1_Root_18S_S123_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P8-1_Root_18S_S123_L001_R2_001.fastq.gz
P8-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P8-2_Root_18S_S129_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P8-2_Root_18S_S129_L001_R2_001.fastq.gz
P8-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P8-N_Soil_18S_S103_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P8-N_Soil_18S_S103_L001_R2_001.fastq.gz
P8-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P8-S_Soil_18S_S144_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P8-S_Soil_18S_S144_L001_R2_001.fastq.gz
P9-1_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P9-1_Root_18S_S124_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P9-1_Root_18S_S124_L001_R2_001.fastq.gz
P9-2_Root	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P9-2_Root_18S_S130_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P9-2_Root_18S_S130_L001_R2_001.fastq.gz
P9-N_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P9-N_Soil_18S_S136_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P9-N_Soil_18S_S136_L001_R2_001.fastq.gz
P9-S_Soil	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P9-S_Soil_18S_S145_L001_R1_001.fastq.gz	/scratch/alpine/jasigs@colostate.edu/Aus23_18S/Nash_8732_23101202/P9-S_Soil_18S_S145_L001_R2_001.fastq.gz
